page_number,file_offset
2,4096
674,2756608
675,2760704
1267,5185536
1866,7639040
2390,9785344
2909,11911168
3433,14057472
3964,16232448
4479,18341888
4998,20467712
5532,22654976
6053,24788992
6570,26906624
7092,29044736
7622,31215616
8150,33378304
8673,35520512
9178,37588992
9711,39772160
10227,41885696
10758,44060672
11284,46215168
11808,48361472
12357,50610176
12873,52723712
13392,54849536
13925,57032704
14499,59383808
15060,61681664
15596,63877120
16117,66011136
16605,68009984
17083,69967872
17565,71942144
18071,74014720
18599,76177408
19142,78401536
19638,80433152
20156,82554880
20679,84697088
21202,86839296
21724,88977408
22262,91181056
22786,93327360
23334,95571968
23882,97816576
24408,99971072
24960,102232064
25481,104366080
26007,106520576
