workload,db,strategy,rep,first_query_us,avg_us,majflt,minflt
B,ta,baseline,1,416.69,1.84,182,277
B,ta,baseline,2,408.23,1.83,182,278
B,ta,baseline,3,404.87,1.83,182,277
B,ta,range,1,366.17,1.84,181,275
B,ta,range,2,335.58,1.82,181,275
B,ta,range,3,367.38,1.80,181,275
B,ta,perpage,1,327.26,1.82,181,275
B,ta,perpage,2,352.00,1.86,181,275
B,ta,perpage,3,378.34,1.82,181,275
B,ta,layers5,1,442.79,1.81,182,275
B,ta,layers5,2,439.79,1.85,182,276
B,ta,layers5,3,438.77,1.89,182,275
C,ta,baseline,1,466.60,1.53,25,27
C,ta,baseline,2,488.95,1.53,25,27
C,ta,baseline,3,460.13,1.50,25,27
C,ta,range,1,520.28,1.50,25,27
C,ta,range,2,469.17,1.50,25,27
C,ta,range,3,531.65,1.51,25,27
C,ta,perpage,1,294.07,1.49,24,28
C,ta,perpage,2,345.13,1.54,24,28
C,ta,perpage,3,284.77,1.51,24,28
C,ta,layers5,1,317.02,1.49,25,27
C,ta,layers5,2,316.92,1.51,25,27
C,ta,layers5,3,310.47,1.52,25,27
