workload,N,first_q_median,first_q_min,first_q_max,avg_us_median
A,0,339.42,333.53,350.36,1.75
A,1,404.94,396.80,422.65,1.71
A,5,243.33,242.36,244.15,1.71
A,10,245.70,243.55,245.84,1.74
A,20,234.26,232.90,236.15,1.73
A,46,247.91,239.59,248.80,1.72
A,92,241.15,238.63,241.92,1.72
B,0,497.18,494.15,503.30,1.78
B,1,413.89,413.39,414.67,1.78
B,5,253.18,249.89,259.62,1.78
B,10,246.73,242.91,250.87,1.77
B,20,245.76,245.45,252.59,1.79
B,46,254.58,248.19,257.06,1.78
B,92,252.41,251.76,253.98,1.80
C,0,433.62,429.29,452.03,1.44
C,1,416.84,407.37,461.68,1.43
C,5,407.25,405.50,410.99,1.45
C,10,405.69,405.00,410.64,1.43
C,20,423.89,407.23,428.41,1.46
C,46,410.43,407.57,415.24,1.46
C,92,245.75,241.78,246.86,1.44
