workload,strategy,rep,first_query_us,prefetch_us,n_prefetch
B,baseline,1,255.04,0,0
B,baseline,2,252.10,0,0
B,baseline,3,255.02,0,0
B,layers5,1,137.32,14.97,5
B,layers5,2,128.84,18.55,5
B,layers5,3,167.62,13.53,5
B,slru,1,14.42,7478.28,4122
B,slru,2,14.61,7954.00,4122
B,slru,3,17.55,7613.88,4122
A,baseline,1,247.66,0,0
A,baseline,2,250.81,0,0
A,baseline,3,251.28,0,0
A,layers5,1,149.55,14.43,5
A,layers5,2,131.89,15.80,5
A,layers5,3,132.81,18.91,5
A,slru,1,15.65,7254.92,4048
A,slru,2,13.83,7136.54,4048
A,slru,3,13.88,7675.81,4048
